,Name,ideology,Amt
255, Rob Portman (R) ,Builders,34000
256, John Thune (R) ,Builders,16500
257, Cory Gardner (R) ,Builders,12500
258, David Perdue (R) ,Builders,7500
259, Susan Collins (R) ,Builders,8250
260, Lisa Murkowski (R) ,Builders,16500
261, John Kennedy (R) ,Builders,5000
262, Pat Roberts (R) ,Builders,5000
263, Shelley Moore Capito (R) ,Builders,29500
264, Johnny Isakson (R) ,Builders,6500
265, Ron Wyden (D) ,Builders,7000
266, Sherrod Brown (D) ,Builders,87750
267, Dianne Feinstein (D) ,Builders,46200
268, Christopher S Murphy (D) ,Builders,17000
269, Robert Menendez (D) ,Builders,54600
270, Angus King (I) ,Builders,31000
271, Mazie K Hirono (D) ,Builders,59500
272, Sheldon Whitehouse (D) ,Builders,44750
273, Mike Crapo (R) ,Builders,37100
274, Cindy Hyde-Smith (R) ,Builders,24500
275, Claire McCaskill (D) ,Builders,100450
276, Doug Jones (D) ,Builders,65500
277, Joe Donnelly (D) ,Builders,69250
278, Tammy Baldwin (D) ,Builders,62500
279, Tim Kaine (D) ,Builders,61700
280, Martin Heinrich (D) ,Builders,52000
281, Tom Carper (D) ,Builders,51200
282, Ben Cardin (D) ,Builders,71125
283, Bob Casey (D) ,Builders,72750
284, Roger Wicker (R) ,Builders,65750
285, Deb Fischer (R) ,Builders,72200
286, Amy Klobuchar (D) ,Builders,70000
287, Jon Tester (D) ,Builders,34500
288, Dean Heller (R) ,Builders,106000
289, Debbie Stabenow (D) ,Builders,82500
290, Joe Manchin (D) ,Builders,70500
291, John A Barrasso (R) ,Builders,130000
292, Heidi Heitkamp (D) ,Builders,99201
293, Bill Nelson (D) ,Builders,75600
294, Orrin G Hatch (R) ,committees,92000
295, Todd Young (R) ,committees,0
296, Elizabeth Warren (D) ,committees,8125
297, Bob Corker (R) ,committees,35000
298, Gary Peters (D) ,committees,1500
299, Ron Johnson (R) ,committees,2610
300, Lindsey Graham (R) ,committees,200
301, James M Inhofe (R) ,committees,4000
302, Patty Murray (D) ,committees,9950
303, Marco Rubio (R) ,committees,0
304, Ben Sasse (R) ,committees,4000
305, Tom Cotton (R) ,committees,1000
306, Ed Markey (D) ,committees,0
307, Mike Rounds (R) ,committees,1000
308, Brian Schatz (D) ,committees,5000
309, Steven Daines (R) ,committees,0
310, Tammy Duckworth (D) ,committees,-100
311, Dan Sullivan (R) ,committees,3000
312, Catherine Cortez Masto (D) ,committees,1500
313, Jeanne Shaheen (D) ,committees,2000
314, Joni Ernst (R) ,committees,0
315, Jerry Moran (R) ,committees,0
316, James Lankford (R) ,committees,0
317, Lamar Alexander (R) ,committees,2000
318, Dick Durbin (D) ,committees,12250
319, John Hoeven (R) ,committees,0
320, Cory Booker (D) ,committees,1000
321, Chris Coons (D) ,committees,0
322, John Boozman (R) ,committees,0
323, Jack Reed (D) ,committees,7000
324, Chuck Grassley (R) ,committees,3225
325, Rand Paul (R) ,committees,64237
326, Mike Lee (R) ,committees,477
327, Maggie Hassan (D) ,committees,0
328, Bernie Sanders (I) ,committees,0
329, Michael F Bennet (D) ,committees,1500
330, Maria Cantwell (D) ,committees,34250
331, Mike Enzi (R) ,committees,0
