,Name,ideology,Amt
1294, Joni Ernst (R) ,Transport,23000
1295, Jerry Moran (R) ,Transport,24500
1296, James Lankford (R) ,Transport,14500
1297, Lamar Alexander (R) ,Transport,9000
1298, Dick Durbin (D) ,Transport,18500
1299, John Hoeven (R) ,Transport,1500
1300, Cory Booker (D) ,Transport,11500
1301, Chris Coons (D) ,Transport,3500
1302, John Boozman (R) ,Transport,5500
1303, Jack Reed (D) ,Transport,19000
1304, Chuck Grassley (R) ,Transport,4000
1305, Rand Paul (R) ,Transport,-6500
1306, Mike Lee (R) ,Transport,9500
1307, Maggie Hassan (D) ,Transport,7500
1308, Bernie Sanders (I) ,Transport,0
1309, Michael F Bennet (D) ,Transport,0
1310, Maria Cantwell (D) ,Transport,1000
1311, Mike Enzi (R) ,Transport,2000
1312, Patrick Leahy (D) ,Transport,3000
1313, James E Risch (R) ,Transport,10000
1314, Tom Udall (D) ,Transport,10000
1315, Richard Blumenthal (D) ,Transport,1000
1316, Charles E Schumer (D) ,Transport,500
1317, Richard Burr (R) ,Transport,2000
1318, Jeff Merkley (D) ,Transport,2500
1319, Kamala D Harris (D) ,Transport,1000
1320, Richard C Shelby (R) ,Transport,5000
1321, Chris Van Hollen (D) ,Transport,1000
1322, Ted Cruz (R) ,Transport,140998
1323, Tina Smith (D) ,Transport,14000
1324, Jeff Flake (R) ,Transport,60000
1325, Kirsten Gillibrand (D) ,Transport,8500
1326, John Cornyn (R) ,Transport,62000
1327, Mitch McConnell (R) ,Transport,50000
1328, Thom Tillis (R) ,Transport,15500
1329, Pat Toomey (R) ,Transport,14700
1330, Bill Cassidy (R) ,Transport,51100
1331, Mark Warner (D) ,Transport,33000
1332, Tim Scott (R) ,Transport,26500
1333, Rob Portman (R) ,Transport,15700
1334, John Thune (R) ,Transport,86495
1335, Cory Gardner (R) ,Transport,34500
1336, David Perdue (R) ,Transport,29500
1337, Susan Collins (R) ,Transport,45500
1338, Lisa Murkowski (R) ,Transport,17500
1339, John Kennedy (R) ,Transport,38200
1340, Pat Roberts (R) ,Transport,7000
1341, Shelley Moore Capito (R) ,Transport,35000
1342, Johnny Isakson (R) ,Transport,17500
1343, Ron Wyden (D) ,Transport,20410
1344, Sherrod Brown (D) ,Transport,25250
1345, Dianne Feinstein (D) ,Transport,58000
1346, Christopher S Murphy (D) ,Transport,44500
1347, Robert Menendez (D) ,Transport,20500
1348, Angus King (I) ,Transport,32000
1349, Mazie K Hirono (D) ,Transport,59700
1350, Sheldon Whitehouse (D) ,Transport,23000
1351, Mike Crapo (R) ,Transport,28245
1352, Cindy Hyde-Smith (R) ,Transport,58000
1353, Claire McCaskill (D) ,Transport,80499
1354, Doug Jones (D) ,Transport,24500
1355, Joe Donnelly (D) ,Transport,67500
1356, Tammy Baldwin (D) ,Transport,57500
1357, Tim Kaine (D) ,Transport,71500
1358, Martin Heinrich (D) ,Transport,55500
1359, Tom Carper (D) ,Transport,84910
1360, Ben Cardin (D) ,Transport,56500
1361, Bob Casey (D) ,Transport,77700
1362, Roger Wicker (R) ,Transport,212738
1363, Deb Fischer (R) ,Transport,180499
1364, Amy Klobuchar (D) ,Transport,144400
1365, Jon Tester (D) ,Transport,106500
1366, Dean Heller (R) ,Transport,232625
1367, Debbie Stabenow (D) ,Transport,59940
1368, Joe Manchin (D) ,Transport,69000
1369, John A Barrasso (R) ,Transport,175470
1370, Heidi Heitkamp (D) ,Transport,65500
1371, Bill Nelson (D) ,Transport,176000
1372, Orrin G Hatch (R) ,Policy,164561
1373, Todd Young (R) ,Policy,13361
1374, Elizabeth Warren (D) ,Policy,451382
1375, Bob Corker (R) ,Policy,69608
1376, Gary Peters (D) ,Policy,2000
1377, Ron Johnson (R) ,Policy,20961
1378, Lindsey Graham (R) ,Policy,25761
1379, James M Inhofe (R) ,Policy,4851
1380, Patty Murray (D) ,Policy,0
1381, Marco Rubio (R) ,Policy,4761
1382, Ben Sasse (R) ,Policy,5861
1383, Tom Cotton (R) ,Policy,13261
1384, Ed Markey (D) ,Policy,2500
1385, Mike Rounds (R) ,Policy,611
1386, Brian Schatz (D) ,Policy,0
1387, Steven Daines (R) ,Policy,9398
1388, Tammy Duckworth (D) ,Policy,42409
1389, Dan Sullivan (R) ,Policy,7111
1390, Catherine Cortez Masto (D) ,Policy,57311
1391, Jeanne Shaheen (D) ,Policy,1000
1392, Joni Ernst (R) ,Policy,5361
1393, Jerry Moran (R) ,Policy,7361
1394, James Lankford (R) ,Policy,4861
1395, Lamar Alexander (R) ,Policy,-1139
1396, Dick Durbin (D) ,Policy,1500
1397, John Hoeven (R) ,Policy,5398
1398, Cory Booker (D) ,Policy,11300
1399, Chris Coons (D) ,Policy,1000
1400, John Boozman (R) ,Policy,861
1401, Jack Reed (D) ,Policy,500
1402, Chuck Grassley (R) ,Policy,864
1403, Rand Paul (R) ,Policy,12274
1404, Mike Lee (R) ,Policy,26016
1405, Maggie Hassan (D) ,Policy,2093
1406, Bernie Sanders (I) ,Policy,49512
1407, Michael F Bennet (D) ,Policy,2750
1408, Maria Cantwell (D) ,Policy,3256
1409, Mike Enzi (R) ,Policy,861
1410, Patrick Leahy (D) ,Policy,0
1411, James E Risch (R) ,Policy,1861
1412, Tom Udall (D) ,Policy,2500
1413, Richard Blumenthal (D) ,Policy,0
1414, Charles E Schumer (D) ,Policy,3000
1415, Richard Burr (R) ,Policy,861
1416, Jeff Merkley (D) ,Policy,0
1417, Kamala D Harris (D) ,Policy,-7356
1418, Richard C Shelby (R) ,Policy,-1139
1419, Chris Van Hollen (D) ,Policy,0
1420, Ted Cruz (R) ,Policy,395500
1421, Tina Smith (D) ,Policy,350800
1422, Jeff Flake (R) ,Policy,184080
1423, Kirsten Gillibrand (D) ,Policy,310705
1424, John Cornyn (R) ,Policy,5361
1425, Mitch McConnell (R) ,Policy,28444
1426, Thom Tillis (R) ,Policy,12861
1427, Pat Toomey (R) ,Policy,17187
1428, Bill Cassidy (R) ,Policy,3861
1429, Mark Warner (D) ,Policy,13000
1430, Tim Scott (R) ,Policy,11861
1431, Rob Portman (R) ,Policy,18823
1432, John Thune (R) ,Policy,861
1433, Cory Gardner (R) ,Policy,14571
1434, David Perdue (R) ,Policy,18761
1435, Susan Collins (R) ,Policy,70991
1436, Lisa Murkowski (R) ,Policy,7061
1437, John Kennedy (R) ,Policy,3861
1438, Pat Roberts (R) ,Policy,5861
1439, Shelley Moore Capito (R) ,Policy,4361
1440, Johnny Isakson (R) ,Policy,861
1441, Ron Wyden (D) ,Policy,1000
1442, Sherrod Brown (D) ,Policy,588615
1443, Dianne Feinstein (D) ,Policy,288584
1444, Christopher S Murphy (D) ,Policy,242030
1445, Robert Menendez (D) ,Policy,337478
1446, Angus King (I) ,Policy,184069
1447, Mazie K Hirono (D) ,Policy,240500
1448, Sheldon Whitehouse (D) ,Policy,302100
1449, Mike Crapo (R) ,Policy,4361
1450, Cindy Hyde-Smith (R) ,Policy,215561
1451, Claire McCaskill (D) ,Policy,5442998
1452, Doug Jones (D) ,Policy,5561661
1453, Joe Donnelly (D) ,Policy,4468131
1454, Tammy Baldwin (D) ,Policy,4799224
1455, Tim Kaine (D) ,Policy,575265
1456, Martin Heinrich (D) ,Policy,342723
1457, Tom Carper (D) ,Policy,229900
1458, Ben Cardin (D) ,Policy,215050
1459, Bob Casey (D) ,Policy,456099
1460, Roger Wicker (R) ,Policy,494831
1461, Deb Fischer (R) ,Policy,351436
1462, Amy Klobuchar (D) ,Policy,352407
1463, Jon Tester (D) ,Policy,1609652
1464, Dean Heller (R) ,Policy,2491987
1465, Debbie Stabenow (D) ,Policy,420776
1466, Joe Manchin (D) ,Policy,4270331
1467, John A Barrasso (R) ,Policy,316961
1468, Heidi Heitkamp (D) ,Policy,1524905
1469, Bill Nelson (D) ,Policy,12174145
