Cand_ID,ideology,Amt
N00001955,H3200,10500
N00001955,H3400,4000
N00001955,H3700,1000
N00001955,H3900,5000
N00001955,H4000,2500
N00001955,H4100,18500
N00001955,H4300,10000
N00001955,H4400,12500
N00001955,J1200,600
N00001955,J2100,158000
N00001955,J2300,2000
N00001955,J5100,38700
N00001955,J7150,3000
N00001955,J7200,1000
N00001955,J7500,10750
N00001955,J7600,1000
N00001955,JE300,8543
N00001955,K1000,35968
N00001955,K1100,7500
N00001955,K1200,5000
N00001955,L1100,21000
N00001955,L1200,7500
N00001955,L1300,14000
N00001955,L1400,10000
N00001955,L1500,19500
N00001955,L5000,2500
N00001955,LB100,32000
N00001955,LC150,10000
N00001955,LG100,5000
N00001955,LG400,2000
N00001955,LM100,3000
N00001955,LM150,5000
N00001955,LT000,3500
N00001955,LT100,10500
N00001955,LT400,2500
N00001955,LT500,20000
N00001955,M0000,1000
N00001955,M1000,9500
N00001955,M1300,2000
N00001955,M1500,1000
N00001955,M2000,1000
N00001955,M2300,1000
N00001955,M3200,5000
N00001955,M5100,1000
N00001955,T1100,5000
N00001955,T1200,3000
N00001955,T1400,2000
N00001955,T1600,1000
N00001955,T2100,5000
N00001955,T2310,0
N00001955,T2500,2000
N00001955,T3100,1000
N00001955,T5100,10500
N00001955,T6200,6000
N00001955,T7100,7500
N00001955,T8300,1000
N00001955,T9000,2500
N00001955,T9100,10000
N00001955,X4000,8000
N00001955,Z1200,5500
N00001955,Z9600,2500
N00002097,A0000,1000
N00002097,A1100,20500
N00002097,A1300,2000
N00002097,A1600,2000
N00002097,A2300,2500
N00002097,A4200,2500
N00002097,B1000,2000
N00002097,B4000,1000
N00002097,C1100,6000
N00002097,C2100,4000
N00002097,C2200,1000
N00002097,C4100,3500
N00002097,C4300,2500
N00002097,C4500,0
N00002097,C5000,500
N00002097,C5100,1000
N00002097,C5110,2500
N00002097,C5120,2500
N00002097,C5130,10000
N00002097,C6000,5000
N00002097,C6400,6000
N00002097,D2000,12000
N00002097,D3000,14000
N00002097,D4000,1000
N00002097,D5000,3000
N00002097,D9000,3000
N00002097,E1110,1000
N00002097,E1140,6000
N00002097,E1300,3000
N00002097,E1320,10000
N00002097,E1600,9500
N00002097,E1620,5500
N00002097,E1630,3000
N00002097,F1000,12500
N00002097,F1100,35000
N00002097,F1300,2500
N00002097,F1400,5000
N00002097,F1410,1000
