,Name,Party,ideology,Amt
285, John Cornyn (R) ,R,Builders,48000
286, Richard C Shelby (R) ,R,Builders,0
287, Richard Burr (R) ,R,Builders,0
288, James E Risch (R) ,R,Builders,1000
289, Mike Enzi (R) ,R,Builders,0
290, Mike Lee (R) ,R,Builders,-5000
291, Rand Paul (R) ,R,Builders,2500
292, Jeff Flake (R) ,R,Builders,11900
293, Ted Cruz (R) ,R,Builders,30500
294, Bill Nelson (D) ,D,committees,18930
295, Chris Coons (D) ,D,committees,0
296, Claire McCaskill (D) ,D,committees,28299
297, Jack Reed (D) ,D,committees,7000
298, Sheldon Whitehouse (D) ,D,committees,18920
299, Maggie Hassan (D) ,D,committees,0
300, Michael F Bennet (D) ,D,committees,1500
301, Maria Cantwell (D) ,D,committees,34250
302, Mazie K Hirono (D) ,D,committees,8000
303, Patrick Leahy (D) ,D,committees,0
304, Tom Udall (D) ,D,committees,125
305, Richard Blumenthal (D) ,D,committees,0
306, Charles E Schumer (D) ,D,committees,0
307, Robert Menendez (D) ,D,committees,24250
308, Jeff Merkley (D) ,D,committees,1075
309, Kamala D Harris (D) ,D,committees,0
310, Christopher S Murphy (D) ,D,committees,58875
311, Chris Van Hollen (D) ,D,committees,0
312, Heidi Heitkamp (D) ,D,committees,870786
313, Tina Smith (D) ,D,committees,158693
314, Dianne Feinstein (D) ,D,committees,4250
315, Kirsten Gillibrand (D) ,D,committees,4500
316, Sherrod Brown (D) ,D,committees,35070
317, Doug Jones (D) ,D,committees,648948
318, Cory Booker (D) ,D,committees,1000
319, Joe Donnelly (D) ,D,committees,177274
320, Elizabeth Warren (D) ,D,committees,8125
321, Joe Manchin (D) ,D,committees,335637
322, Gary Peters (D) ,D,committees,1500
323, Debbie Stabenow (D) ,D,committees,83159
324, Jon Tester (D) ,D,committees,97327
325, Patty Murray (D) ,D,committees,9950
326, Amy Klobuchar (D) ,D,committees,14000
327, Mark Warner (D) ,D,committees,6000
328, Ed Markey (D) ,D,committees,0
329, Dick Durbin (D) ,D,committees,12250
330, Bob Casey (D) ,D,committees,281761
331, Ron Wyden (D) ,D,committees,0
332, Ben Cardin (D) ,D,committees,8000
333, Tammy Duckworth (D) ,D,committees,-100
334, Tom Carper (D) ,D,committees,5500
335, Catherine Cortez Masto (D) ,D,committees,1500
336, Jeanne Shaheen (D) ,D,committees,2000
337, Martin Heinrich (D) ,D,committees,27825
338, Tim Kaine (D) ,D,committees,16320
339, Tammy Baldwin (D) ,D,committees,29680
340, Brian Schatz (D) ,D,committees,5000
341, Bernie Sanders (I) ,I,committees,0
342, Angus King (I) ,I,committees,24674
343, Pat Roberts (R) ,R,committees,-2654
344, Johnny Isakson (R) ,R,committees,0
345, Shelley Moore Capito (R) ,R,committees,0
346, John Kennedy (R) ,R,committees,16982
347, Lisa Murkowski (R) ,R,committees,0
348, Cindy Hyde-Smith (R) ,R,committees,7000
349, Susan Collins (R) ,R,committees,2000
350, Roger Wicker (R) ,R,committees,64095
351, Deb Fischer (R) ,R,committees,36361
352, Dean Heller (R) ,R,committees,56376
353, John A Barrasso (R) ,R,committees,8131
