,Name,Party,ideology,Amt
1179, Jack Reed (D) ,D,General,0
1180, Sheldon Whitehouse (D) ,D,General,50500
1181, Maggie Hassan (D) ,D,General,2556
1182, Michael F Bennet (D) ,D,General,5500
1183, Maria Cantwell (D) ,D,General,12500
1184, Mazie K Hirono (D) ,D,General,68500
1185, Patrick Leahy (D) ,D,General,5000
1186, Tom Udall (D) ,D,General,5000
1187, Richard Blumenthal (D) ,D,General,1000
1188, Charles E Schumer (D) ,D,General,12500
1189, Robert Menendez (D) ,D,General,38500
1190, Jeff Merkley (D) ,D,General,0
1191, Kamala D Harris (D) ,D,General,6480
1192, Christopher S Murphy (D) ,D,General,31321
1193, Chris Van Hollen (D) ,D,General,0
1194, Heidi Heitkamp (D) ,D,General,150250
1195, Tina Smith (D) ,D,General,57950
1196, Dianne Feinstein (D) ,D,General,97200
1197, Kirsten Gillibrand (D) ,D,General,55400
1198, Sherrod Brown (D) ,D,General,159000
1199, Doug Jones (D) ,D,General,21000
1200, Cory Booker (D) ,D,General,6250
1201, Joe Donnelly (D) ,D,General,104200
1202, Elizabeth Warren (D) ,D,General,17500
1203, Joe Manchin (D) ,D,General,74000
1204, Gary Peters (D) ,D,General,18557
1205, Debbie Stabenow (D) ,D,General,186000
1206, Jon Tester (D) ,D,General,111850
1207, Patty Murray (D) ,D,General,6000
1208, Amy Klobuchar (D) ,D,General,120000
1209, Mark Warner (D) ,D,General,18000
1210, Ed Markey (D) ,D,General,3700
1211, Dick Durbin (D) ,D,General,11000
1212, Bob Casey (D) ,D,General,151346
1213, Ron Wyden (D) ,D,General,39500
1214, Ben Cardin (D) ,D,General,63750
1215, Tammy Duckworth (D) ,D,General,12500
1216, Tom Carper (D) ,D,General,70500
1217, Catherine Cortez Masto (D) ,D,General,11000
1218, Jeanne Shaheen (D) ,D,General,6500
1219, Martin Heinrich (D) ,D,General,73700
1220, Tim Kaine (D) ,D,General,88855
1221, Tammy Baldwin (D) ,D,General,52500
1222, Brian Schatz (D) ,D,General,14500
1223, Bernie Sanders (I) ,I,General,0
1224, Angus King (I) ,I,General,55000
1225, Pat Roberts (R) ,R,General,58500
1226, Johnny Isakson (R) ,R,General,19000
1227, Shelley Moore Capito (R) ,R,General,19500
1228, John Kennedy (R) ,R,General,10700
1229, Lisa Murkowski (R) ,R,General,19000
1230, Cindy Hyde-Smith (R) ,R,General,718500
1231, Susan Collins (R) ,R,General,13500
1232, Roger Wicker (R) ,R,General,95900
1233, Deb Fischer (R) ,R,General,157340
1234, Dean Heller (R) ,R,General,234500
1235, John A Barrasso (R) ,R,General,135500
1236, Mike Crapo (R) ,R,General,24148
1237, David Perdue (R) ,R,General,57000
1238, Orrin G Hatch (R) ,R,General,149200
1239, John Thune (R) ,R,General,43000
1240, James Lankford (R) ,R,General,11500
1241, Jerry Moran (R) ,R,General,14500
1242, Joni Ernst (R) ,R,General,10500
1243, Dan Sullivan (R) ,R,General,5700
1244, Steven Daines (R) ,R,General,19696
1245, Mike Rounds (R) ,R,General,5500
1246, Lamar Alexander (R) ,R,General,9500
1247, Tom Cotton (R) ,R,General,23500
1248, Marco Rubio (R) ,R,General,23500
1249, James M Inhofe (R) ,R,General,0
1250, Lindsey Graham (R) ,R,General,22500
1251, Ron Johnson (R) ,R,General,33000
1252, Bob Corker (R) ,R,General,29000
1253, Todd Young (R) ,R,General,17500
1254, Ben Sasse (R) ,R,General,15500
1255, Cory Gardner (R) ,R,General,72250
1256, John Hoeven (R) ,R,General,9000
1257, Chuck Grassley (R) ,R,General,9500
1258, Rob Portman (R) ,R,General,35150
1259, Tim Scott (R) ,R,General,32750
1260, Bill Cassidy (R) ,R,General,35200
1261, Pat Toomey (R) ,R,General,33000
1262, Thom Tillis (R) ,R,General,54250
1263, Mitch McConnell (R) ,R,General,71000
1264, John Boozman (R) ,R,General,10500
1265, John Cornyn (R) ,R,General,55000
1266, Richard C Shelby (R) ,R,General,5000
1267, Richard Burr (R) ,R,General,7000
1268, James E Risch (R) ,R,General,4821
1269, Mike Enzi (R) ,R,General,7000
1270, Mike Lee (R) ,R,General,19000
1271, Rand Paul (R) ,R,General,9100
1272, Jeff Flake (R) ,R,General,90750
1273, Ted Cruz (R) ,R,General,82000
1274, Bill Nelson (D) ,D,Transport,176000
1275, Chris Coons (D) ,D,Transport,3500
1276, Claire McCaskill (D) ,D,Transport,80499
1277, Jack Reed (D) ,D,Transport,19000
1278, Sheldon Whitehouse (D) ,D,Transport,23000
1279, Maggie Hassan (D) ,D,Transport,7500
1280, Michael F Bennet (D) ,D,Transport,0
1281, Maria Cantwell (D) ,D,Transport,1000
1282, Mazie K Hirono (D) ,D,Transport,59700
1283, Patrick Leahy (D) ,D,Transport,3000
1284, Tom Udall (D) ,D,Transport,10000
1285, Richard Blumenthal (D) ,D,Transport,1000
1286, Charles E Schumer (D) ,D,Transport,500
1287, Robert Menendez (D) ,D,Transport,20500
1288, Jeff Merkley (D) ,D,Transport,2500
1289, Kamala D Harris (D) ,D,Transport,1000
1290, Christopher S Murphy (D) ,D,Transport,44500
1291, Chris Van Hollen (D) ,D,Transport,1000
1292, Heidi Heitkamp (D) ,D,Transport,65500
1293, Tina Smith (D) ,D,Transport,14000
1294, Dianne Feinstein (D) ,D,Transport,58000
1295, Kirsten Gillibrand (D) ,D,Transport,8500
1296, Sherrod Brown (D) ,D,Transport,25250
1297, Doug Jones (D) ,D,Transport,24500
1298, Cory Booker (D) ,D,Transport,11500
1299, Joe Donnelly (D) ,D,Transport,67500
1300, Elizabeth Warren (D) ,D,Transport,0
1301, Joe Manchin (D) ,D,Transport,69000
1302, Gary Peters (D) ,D,Transport,28499
1303, Debbie Stabenow (D) ,D,Transport,59940
1304, Jon Tester (D) ,D,Transport,106500
1305, Patty Murray (D) ,D,Transport,10000
1306, Amy Klobuchar (D) ,D,Transport,144400
1307, Mark Warner (D) ,D,Transport,33000
1308, Ed Markey (D) ,D,Transport,20000
1309, Dick Durbin (D) ,D,Transport,18500
1310, Bob Casey (D) ,D,Transport,77700
1311, Ron Wyden (D) ,D,Transport,20410
1312, Ben Cardin (D) ,D,Transport,56500
1313, Tammy Duckworth (D) ,D,Transport,18500
1314, Tom Carper (D) ,D,Transport,84910
1315, Catherine Cortez Masto (D) ,D,Transport,20000
1316, Jeanne Shaheen (D) ,D,Transport,18000
1317, Martin Heinrich (D) ,D,Transport,55500
1318, Tim Kaine (D) ,D,Transport,71500
1319, Tammy Baldwin (D) ,D,Transport,57500
1320, Brian Schatz (D) ,D,Transport,46200
1321, Bernie Sanders (I) ,I,Transport,0
1322, Angus King (I) ,I,Transport,32000
1323, Pat Roberts (R) ,R,Transport,7000
1324, Johnny Isakson (R) ,R,Transport,17500
1325, Shelley Moore Capito (R) ,R,Transport,35000
1326, John Kennedy (R) ,R,Transport,38200
1327, Lisa Murkowski (R) ,R,Transport,17500
1328, Cindy Hyde-Smith (R) ,R,Transport,58000
1329, Susan Collins (R) ,R,Transport,45500
1330, Roger Wicker (R) ,R,Transport,212738
1331, Deb Fischer (R) ,R,Transport,180499
1332, Dean Heller (R) ,R,Transport,232625
1333, John A Barrasso (R) ,R,Transport,175470
1334, Mike Crapo (R) ,R,Transport,28245
1335, David Perdue (R) ,R,Transport,29500
1336, Orrin G Hatch (R) ,R,Transport,63600
1337, John Thune (R) ,R,Transport,86495
1338, James Lankford (R) ,R,Transport,14500
1339, Jerry Moran (R) ,R,Transport,24500
1340, Joni Ernst (R) ,R,Transport,23000
1341, Dan Sullivan (R) ,R,Transport,55000
1342, Steven Daines (R) ,R,Transport,22000
1343, Mike Rounds (R) ,R,Transport,22500
1344, Lamar Alexander (R) ,R,Transport,9000
1345, Tom Cotton (R) ,R,Transport,14500
1346, Marco Rubio (R) ,R,Transport,35500
1347, James M Inhofe (R) ,R,Transport,68000
1348, Lindsey Graham (R) ,R,Transport,29800
1349, Ron Johnson (R) ,R,Transport,61500
1350, Bob Corker (R) ,R,Transport,21000
1351, Todd Young (R) ,R,Transport,59000
1352, Ben Sasse (R) ,R,Transport,12500
1353, Cory Gardner (R) ,R,Transport,34500
1354, John Hoeven (R) ,R,Transport,1500
1355, Chuck Grassley (R) ,R,Transport,4000
1356, Rob Portman (R) ,R,Transport,15700
1357, Tim Scott (R) ,R,Transport,26500
1358, Bill Cassidy (R) ,R,Transport,51100
1359, Pat Toomey (R) ,R,Transport,14700
1360, Thom Tillis (R) ,R,Transport,15500
1361, Mitch McConnell (R) ,R,Transport,50000
1362, John Boozman (R) ,R,Transport,5500
1363, John Cornyn (R) ,R,Transport,62000
1364, Richard C Shelby (R) ,R,Transport,5000
1365, Richard Burr (R) ,R,Transport,2000
1366, James E Risch (R) ,R,Transport,10000
1367, Mike Enzi (R) ,R,Transport,2000
1368, Mike Lee (R) ,R,Transport,9500
1369, Rand Paul (R) ,R,Transport,-6500
1370, Jeff Flake (R) ,R,Transport,60000
1371, Ted Cruz (R) ,R,Transport,140998
1372, Bill Nelson (D) ,D,Policy,12174145
1373, Chris Coons (D) ,D,Policy,1000
1374, Claire McCaskill (D) ,D,Policy,5442998
1375, Jack Reed (D) ,D,Policy,500
1376, Sheldon Whitehouse (D) ,D,Policy,302100
1377, Maggie Hassan (D) ,D,Policy,2093
1378, Michael F Bennet (D) ,D,Policy,2750
1379, Maria Cantwell (D) ,D,Policy,3256
1380, Mazie K Hirono (D) ,D,Policy,240500
1381, Patrick Leahy (D) ,D,Policy,0
1382, Tom Udall (D) ,D,Policy,2500
1383, Richard Blumenthal (D) ,D,Policy,0
1384, Charles E Schumer (D) ,D,Policy,3000
1385, Robert Menendez (D) ,D,Policy,337478
1386, Jeff Merkley (D) ,D,Policy,0
1387, Kamala D Harris (D) ,D,Policy,-7356
1388, Christopher S Murphy (D) ,D,Policy,242030
1389, Chris Van Hollen (D) ,D,Policy,0
1390, Heidi Heitkamp (D) ,D,Policy,1524905
1391, Tina Smith (D) ,D,Policy,350800
1392, Dianne Feinstein (D) ,D,Policy,288584
1393, Kirsten Gillibrand (D) ,D,Policy,310705
1394, Sherrod Brown (D) ,D,Policy,588615
1395, Doug Jones (D) ,D,Policy,5561661
1396, Cory Booker (D) ,D,Policy,11300
1397, Joe Donnelly (D) ,D,Policy,4468131
1398, Elizabeth Warren (D) ,D,Policy,451382
1399, Joe Manchin (D) ,D,Policy,4270331
1400, Gary Peters (D) ,D,Policy,2000
1401, Debbie Stabenow (D) ,D,Policy,420776
1402, Jon Tester (D) ,D,Policy,1609652
1403, Patty Murray (D) ,D,Policy,0
1404, Amy Klobuchar (D) ,D,Policy,352407
1405, Mark Warner (D) ,D,Policy,13000
1406, Ed Markey (D) ,D,Policy,2500
1407, Dick Durbin (D) ,D,Policy,1500
1408, Bob Casey (D) ,D,Policy,456099
1409, Ron Wyden (D) ,D,Policy,1000
1410, Ben Cardin (D) ,D,Policy,215050
1411, Tammy Duckworth (D) ,D,Policy,42409
1412, Tom Carper (D) ,D,Policy,229900
1413, Catherine Cortez Masto (D) ,D,Policy,57311
1414, Jeanne Shaheen (D) ,D,Policy,1000
1415, Martin Heinrich (D) ,D,Policy,342723
1416, Tim Kaine (D) ,D,Policy,575265
1417, Tammy Baldwin (D) ,D,Policy,4799224
1418, Brian Schatz (D) ,D,Policy,0
1419, Bernie Sanders (I) ,I,Policy,49512
1420, Angus King (I) ,I,Policy,184069
1421, Pat Roberts (R) ,R,Policy,5861
1422, Johnny Isakson (R) ,R,Policy,861
1423, Shelley Moore Capito (R) ,R,Policy,4361
1424, John Kennedy (R) ,R,Policy,3861
1425, Lisa Murkowski (R) ,R,Policy,7061
1426, Cindy Hyde-Smith (R) ,R,Policy,215561
1427, Susan Collins (R) ,R,Policy,70991
1428, Roger Wicker (R) ,R,Policy,494831
1429, Deb Fischer (R) ,R,Policy,351436
1430, Dean Heller (R) ,R,Policy,2491987
1431, John A Barrasso (R) ,R,Policy,316961
1432, Mike Crapo (R) ,R,Policy,4361
1433, David Perdue (R) ,R,Policy,18761
1434, Orrin G Hatch (R) ,R,Policy,164561
1435, John Thune (R) ,R,Policy,861
1436, James Lankford (R) ,R,Policy,4861
1437, Jerry Moran (R) ,R,Policy,7361
1438, Joni Ernst (R) ,R,Policy,5361
1439, Dan Sullivan (R) ,R,Policy,7111
1440, Steven Daines (R) ,R,Policy,9398
1441, Mike Rounds (R) ,R,Policy,611
1442, Lamar Alexander (R) ,R,Policy,-1139
1443, Tom Cotton (R) ,R,Policy,13261
1444, Marco Rubio (R) ,R,Policy,4761
1445, James M Inhofe (R) ,R,Policy,4851
1446, Lindsey Graham (R) ,R,Policy,25761
1447, Ron Johnson (R) ,R,Policy,20961
1448, Bob Corker (R) ,R,Policy,69608
1449, Todd Young (R) ,R,Policy,13361
1450, Ben Sasse (R) ,R,Policy,5861
1451, Cory Gardner (R) ,R,Policy,14571
1452, John Hoeven (R) ,R,Policy,5398
1453, Chuck Grassley (R) ,R,Policy,864
1454, Rob Portman (R) ,R,Policy,18823
1455, Tim Scott (R) ,R,Policy,11861
1456, Bill Cassidy (R) ,R,Policy,3861
1457, Pat Toomey (R) ,R,Policy,17187
1458, Thom Tillis (R) ,R,Policy,12861
1459, Mitch McConnell (R) ,R,Policy,28444
1460, John Boozman (R) ,R,Policy,861
1461, John Cornyn (R) ,R,Policy,5361
1462, Richard C Shelby (R) ,R,Policy,-1139
1463, Richard Burr (R) ,R,Policy,861
1464, James E Risch (R) ,R,Policy,1861
1465, Mike Enzi (R) ,R,Policy,861
1466, Mike Lee (R) ,R,Policy,26016
1467, Rand Paul (R) ,R,Policy,12274
1468, Jeff Flake (R) ,R,Policy,184080
1469, Ted Cruz (R) ,R,Policy,395500
